diseases,disease_ids,mapped_disease_ids,mismatched_diseases,actual_disease_names
"['nephropathy', 'chronic kidney disease', 'chronic kidney disease', 'diabetes mellitus', 'diabetes', 'diabetes', 'nephropathy', 'diabetes mellitus']","['D007674', 'D051436', 'D051436', 'D003920', 'D003920', 'D003920', 'D007674', 'D003920']","['-1', 'D051436', 'D051436', 'D003920', '-1', '-1', '-1', 'D003920']","['nephropathy', 'diabetes', 'diabetes', 'nephropathy']","[['kidney diseases', 'kidney diseases', 'disease, kidney', 'diseases, kidney', 'kidney disease'], ['renal insufficiency, chronic', 'renal insufficiency, chronic', 'chronic renal insufficiencies', 'renal insufficiencies, chronic', 'chronic kidney insufficiency', 'chronic kidney insufficiencies', 'kidney insufficiencies, chronic', 'chronic renal insufficiency', 'kidney insufficiency, chronic', 'chronic kidney diseases', 'chronic kidney disease', 'disease, chronic kidney', 'diseases, chronic kidney', 'kidney disease, chronic', 'kidney diseases, chronic', 'chronic renal diseases', 'chronic renal disease', 'disease, chronic renal', 'diseases, chronic renal', 'renal disease, chronic', 'renal diseases, chronic'], ['renal insufficiency, chronic', 'renal insufficiency, chronic', 'chronic renal insufficiencies', 'renal insufficiencies, chronic', 'chronic kidney insufficiency', 'chronic kidney insufficiencies', 'kidney insufficiencies, chronic', 'chronic renal insufficiency', 'kidney insufficiency, chronic', 'chronic kidney diseases', 'chronic kidney disease', 'disease, chronic kidney', 'diseases, chronic kidney', 'kidney disease, chronic', 'kidney diseases, chronic', 'chronic renal diseases', 'chronic renal disease', 'disease, chronic renal', 'diseases, chronic renal', 'renal disease, chronic', 'renal diseases, chronic'], ['diabetes mellitus', 'diabetes mellitus']]"
"['cognitive deficits', 'dementia', 'cognitive decline', 'cognitive deficits', ""alzheimer's disease"", 'neuronal death', 'decline of cognitive function']","['D003072', 'D003704', 'D003072', 'D003072', 'D000544', 'D009410', 'D003072']","['-1', 'D003704', 'D060825', '-1', 'D000544', '-1', '-1']","['cognitive deficits', 'cognitive deficits', 'neuronal death', 'decline of cognitive function']","[['cognition disorders', 'cognition disorders', 'disorder, cognition', 'disorders, cognition', 'overinclusion'], ['dementia', 'dementia', 'dementias', 'amentia', 'amentias', 'senile paranoid dementia', 'dementias, senile paranoid', 'paranoid dementia, senile', 'paranoid dementias, senile', 'senile paranoid dementias', 'familial dementia', 'dementia, familial', 'dementias, familial', 'familial dementias'], ['cognition disorders', 'cognition disorders', 'disorder, cognition', 'disorders, cognition', 'overinclusion'], ['cognition disorders', 'cognition disorders', 'disorder, cognition', 'disorders, cognition', 'overinclusion']]"
"['hepatitis b virus (hbv) infected', 'hiv co-infection', 'hbv and hiv co-infected', 'hepatitis b', 'human immunodeficiency virus (hiv) co-infection', 'hbv infected', 'hiv co-infection', 'hbv mono-infected', 'hbv-hiv co-infected', 'hepatitis b', 'hbv-hiv co-infected', 'hbv-hiv co-infected', 'hbv-hiv co-infected']","['D006509', 'D015658', 'D006509|D015658', 'D006509', 'D015658', 'D006509', 'D015658', 'D006509', 'D006509|D015658', 'D006509', 'D006509|D015658', 'D006509|D015658', 'D006509|D015658']","['-1', '-1', '-1', 'D006509', '-1', '-1', '-1', '-1', '-1', 'D006509', '-1', '-1', '-1']","['hepatitis b virus (hbv) infected', 'hiv co-infection', 'hbv and hiv co-infected', 'human immunodeficiency virus (hiv) co-infection', 'hbv infected', 'hiv co-infection', 'hbv mono-infected', 'hbv-hiv co-infected', 'hbv-hiv co-infected', 'hbv-hiv co-infected', 'hbv-hiv co-infected']","[['hepatitis b', 'hepatitis b', 'hepatitis b virus infection'], ['hiv infections', 'hiv infections', 'hiv infection', 'infection, hiv', 'infections, hiv', 'htlv-iii infections', 'htlv-iii infection', 'htlv iii infections', 'infection, htlv-iii', 'infections, htlv-iii', 'htlv-iii-lav infections', 'htlv-iii-lav infection', 'htlv iii lav infections', 'infection, htlv-iii-lav', 'infections, htlv-iii-lav', 't-lymphotropic virus type iii infections, human', 't lymphotropic virus type iii infections, human', 'hiv coinfection', 'coinfection, hiv', 'coinfections, hiv', 'hiv coinfections'], ['-1'], ['hepatitis b', 'hepatitis b', 'hepatitis b virus infection'], ['hiv infections', 'hiv infections', 'hiv infection', 'infection, hiv', 'infections, hiv', 'htlv-iii infections', 'htlv-iii infection', 'htlv iii infections', 'infection, htlv-iii', 'infections, htlv-iii', 'htlv-iii-lav infections', 'htlv-iii-lav infection', 'htlv iii lav infections', 'infection, htlv-iii-lav', 'infections, htlv-iii-lav', 't-lymphotropic virus type iii infections, human', 't lymphotropic virus type iii infections, human', 'hiv coinfection', 'coinfection, hiv', 'coinfections, hiv', 'hiv coinfections'], ['hepatitis b', 'hepatitis b', 'hepatitis b virus infection'], ['hiv infections', 'hiv infections', 'hiv infection', 'infection, hiv', 'infections, hiv', 'htlv-iii infections', 'htlv-iii infection', 'htlv iii infections', 'infection, htlv-iii', 'infections, htlv-iii', 'htlv-iii-lav infections', 'htlv-iii-lav infection', 'htlv iii lav infections', 'infection, htlv-iii-lav', 'infections, htlv-iii-lav', 't-lymphotropic virus type iii infections, human', 't lymphotropic virus type iii infections, human', 'hiv coinfection', 'coinfection, hiv', 'coinfections, hiv', 'hiv coinfections'], ['hepatitis b', 'hepatitis b', 'hepatitis b virus infection'], ['-1'], ['hepatitis b', 'hepatitis b', 'hepatitis b virus infection'], ['-1']]"
"['proteinuria', 'renal dysfunction', 'nephrotoxic', 'proteinuria', 'proteinuria', 'proteinuria', 'proteinuria', 'proteinuria', 'proteinuria', 'proteinuria', 'proteinuria', 'renal dysfunction']","['D011507', 'D007674', 'D007674', 'D011507', 'D011507', 'D011507', 'D011507', 'D011507', 'D011507', 'D011507', 'D011507', 'D007674']","['D011507', '-1', '-1', 'D011507', 'D011507', 'D011507', 'D011507', 'D011507', 'D011507', 'D011507', 'D011507', '-1']","['renal dysfunction', 'nephrotoxic', 'renal dysfunction']","[['proteinuria', 'proteinuria', 'proteinurias'], ['kidney diseases', 'kidney diseases', 'disease, kidney', 'diseases, kidney', 'kidney disease'], ['kidney diseases', 'kidney diseases', 'disease, kidney', 'diseases, kidney', 'kidney disease']]"
"['neurotoxicity', 'neurodegeneration', 'cns damage', 'neurotoxicity', 'neurotoxicity', 'neurotoxicity', 'neurotoxicity']","['D020258', 'D009422', 'D009422', 'D020258', 'D020258', 'D020258', 'D020258']","['-1', '-1', '-1', '-1', '-1', '-1', '-1']","['neurotoxicity', 'neurodegeneration', 'cns damage', 'neurotoxicity', 'neurotoxicity', 'neurotoxicity', 'neurotoxicity']","[['neurotoxicity syndromes', 'neurotoxicity syndromes', 'neurotoxicity syndrome', 'syndrome, neurotoxicity', 'syndromes, neurotoxicity', 'poisoning, nervous system', 'nervous system poisonings', 'poisonings, nervous system', 'nervous system poisoning', 'neurotoxic disorders', 'neurotoxic disorder', 'neurotoxin diseases', 'neurotoxin disease', 'neurotoxin disorders', 'neurotoxin disorder', 'toxic encephalitis', 'encephalitides, toxic', 'encephalitis, toxic', 'toxic encephalitides', 'encephalopathy, toxic', 'encephalopathies, toxic', 'toxic encephalopathies', 'toxic encephalopathy'], ['nervous system diseases', 'nervous system diseases', 'disease, nervous system', 'diseases, nervous system', 'nervous system disease', 'nervous system disorders', 'disorder, nervous system', 'disorders, nervous system', 'nervous system disorder', 'neurologic disorders', 'disorder, neurologic', 'disorders, neurologic', 'neurologic disorder', 'neurological disorders', 'disorder, neurological', 'disorders, neurological', 'neurological disorder'], ['nervous system diseases', 'nervous system diseases', 'disease, nervous system', 'diseases, nervous system', 'nervous system disease', 'nervous system disorders', 'disorder, nervous system', 'disorders, nervous system', 'nervous system disorder', 'neurologic disorders', 'disorder, neurologic', 'disorders, neurologic', 'neurologic disorder', 'neurological disorders', 'disorder, neurological', 'disorders, neurological', 'neurological disorder'], ['neurotoxicity syndromes', 'neurotoxicity syndromes', 'neurotoxicity syndrome', 'syndrome, neurotoxicity', 'syndromes, neurotoxicity', 'poisoning, nervous system', 'nervous system poisonings', 'poisonings, nervous system', 'nervous system poisoning', 'neurotoxic disorders', 'neurotoxic disorder', 'neurotoxin diseases', 'neurotoxin disease', 'neurotoxin disorders', 'neurotoxin disorder', 'toxic encephalitis', 'encephalitides, toxic', 'encephalitis, toxic', 'toxic encephalitides', 'encephalopathy, toxic', 'encephalopathies, toxic', 'toxic encephalopathies', 'toxic encephalopathy'], ['neurotoxicity syndromes', 'neurotoxicity syndromes', 'neurotoxicity syndrome', 'syndrome, neurotoxicity', 'syndromes, neurotoxicity', 'poisoning, nervous system', 'nervous system poisonings', 'poisonings, nervous system', 'nervous system poisoning', 'neurotoxic disorders', 'neurotoxic disorder', 'neurotoxin diseases', 'neurotoxin disease', 'neurotoxin disorders', 'neurotoxin disorder', 'toxic encephalitis', 'encephalitides, toxic', 'encephalitis, toxic', 'toxic encephalitides', 'encephalopathy, toxic', 'encephalopathies, toxic', 'toxic encephalopathies', 'toxic encephalopathy'], ['neurotoxicity syndromes', 'neurotoxicity syndromes', 'neurotoxicity syndrome', 'syndrome, neurotoxicity', 'syndromes, neurotoxicity', 'poisoning, nervous system', 'nervous system poisonings', 'poisonings, nervous system', 'nervous system poisoning', 'neurotoxic disorders', 'neurotoxic disorder', 'neurotoxin diseases', 'neurotoxin disease', 'neurotoxin disorders', 'neurotoxin disorder', 'toxic encephalitis', 'encephalitides, toxic', 'encephalitis, toxic', 'toxic encephalitides', 'encephalopathy, toxic', 'encephalopathies, toxic', 'toxic encephalopathies', 'toxic encephalopathy'], ['neurotoxicity syndromes', 'neurotoxicity syndromes', 'neurotoxicity syndrome', 'syndrome, neurotoxicity', 'syndromes, neurotoxicity', 'poisoning, nervous system', 'nervous system poisonings', 'poisonings, nervous system', 'nervous system poisoning', 'neurotoxic disorders', 'neurotoxic disorder', 'neurotoxin diseases', 'neurotoxin disease', 'neurotoxin disorders', 'neurotoxin disorder', 'toxic encephalitis', 'encephalitides, toxic', 'encephalitis, toxic', 'toxic encephalitides', 'encephalopathy, toxic', 'encephalopathies, toxic', 'toxic encephalopathies', 'toxic encephalopathy']]"
"['brachial neuritis', 'neurotoxicity', 'encephalopathy', 'headaches', 'seizures', 'neurological deficits', 'myelitis', 'brachial plexitis']","['D020968', 'D020258', 'D001927', 'D006261', 'D012640', 'D009461', 'D009187', 'D020968']","['D020968', '-1', 'D001927', 'D006261', 'D012640', '-1', 'D009187', '-1']","['neurotoxicity', 'neurological deficits', 'brachial plexitis']","[['brachial plexus neuritis', 'brachial plexus neuritis', 'brachial plexus neuritides', 'neuritides, brachial plexus', 'neuritis, brachial plexus', 'parsonage-aldren-turner syndrome', 'parsonage aldren turner syndrome', 'syndrome, parsonage-aldren-turner', 'brachial neuritis', 'brachial neuritides', 'neuritides, brachial', 'neuritis, brachial', 'shoulder girdle neuropathy', 'girdle neuropathies, shoulder', 'girdle neuropathy, shoulder', 'neuropathies, shoulder girdle', 'neuropathy, shoulder girdle', 'shoulder girdle neuropathies', 'shoulder-girdle neuropathy', 'neuropathies, shoulder-girdle', 'neuropathy, shoulder-girdle', 'shoulder-girdle neuropathies', 'parsonage-turner syndrome', 'parsonage turner syndrome', 'syndrome, parsonage-turner', 'cervico-brachial neuralgia', 'cervico brachial neuralgia', 'cervico-brachial neuralgias', 'neuralgia, cervico-brachial', 'neuralgias, cervico-brachial', 'cervicobrachial neuralgia', 'cervicobrachial neuralgias', 'neuralgia, cervicobrachial', 'neuralgias, cervicobrachial', 'brachial neuralgia', 'brachial neuralgias', 'neuralgia, brachial', 'neuralgias, brachial', 'neuralgia, amyotrophic', 'amyotrophic neuralgias', 'neuralgias, amyotrophic', 'amyotrophic neuralgia', 'amyotrophy, neuralgic', 'amyotrophies, neuralgic', 'neuralgic amyotrophies', 'neuralgic amyotrophy', 'hereditary brachial plexus neuropathy', 'hereditary neuralgic amyotrophy', 'heredofamilial neuritis with brachial plexus predilection', 'neuritis with brachial predilection', 'amyotrophy, hereditary neuralgic', 'amyotrophies, hereditary neuralgic', 'hereditary neuralgic amyotrophies', 'neuralgic amyotrophies, hereditary', 'neuralgic amyotrophy, hereditary', 'amyotrophy, hereditary neuralgic, with predilection for brachial plexus', 'familial brachial plexus neuritis', 'brachial plexus neuropathy, hereditary'], ['neurotoxicity syndromes', 'neurotoxicity syndromes', 'neurotoxicity syndrome', 'syndrome, neurotoxicity', 'syndromes, neurotoxicity', 'poisoning, nervous system', 'nervous system poisonings', 'poisonings, nervous system', 'nervous system poisoning', 'neurotoxic disorders', 'neurotoxic disorder', 'neurotoxin diseases', 'neurotoxin disease', 'neurotoxin disorders', 'neurotoxin disorder', 'toxic encephalitis', 'encephalitides, toxic', 'encephalitis, toxic', 'toxic encephalitides', 'encephalopathy, toxic', 'encephalopathies, toxic', 'toxic encephalopathies', 'toxic encephalopathy'], ['brain diseases', 'brain diseases', 'brain disease', 'intracranial central nervous system disorders', 'brain disorders', 'brain disorder', 'central nervous system disorders, intracranial', 'central nervous system intracranial disorders', 'cns disorders, intracranial', 'cns disorder, intracranial', 'intracranial cns disorder', 'encephalon diseases', 'encephalon disease', 'intracranial cns disorders', 'encephalopathy', 'encephalopathies']]"
"['valvular heart disease', ""parkinson's disease"", 'valvular heart abnormalities', ""parkinson's disease"", 'pd', 'valvular heart abnormality', 'pd', 'pd', 'pd', 'aortic regurgitation', 'mitral regurgitation', 'pd', 'valvular regurgitation', 'heart failure', 'valvular heart disease', 'heart failure', 'valve regurgitation', 'pd']","['D006349', 'D010300', 'D006349', 'D010300', 'D010300', 'D006349', 'D010300', 'D010300', 'D010300', 'D001022', 'D008944', 'D010300', 'D006349', 'D006333', 'D006349', 'D006333', 'D006349', 'D010300']","['D006349', 'D010300', '-1', 'D010300', '-1', '-1', '-1', '-1', '-1', 'D001022', 'D008944', '-1', '-1', 'D006333', 'D006349', 'D006333', '-1', '-1']","['valvular heart abnormalities', 'pd', 'valvular heart abnormality', 'pd', 'pd', 'pd', 'pd', 'valvular regurgitation', 'valve regurgitation', 'pd']","[['heart valve diseases', 'heart valve diseases', 'heart valve disease', 'valve disease, heart', 'valvular heart diseases', 'heart disease, valvular', 'valvular heart disease', 'heart valvular disease', 'disease, heart valvular', 'heart valvular diseases', 'valvular disease, heart'], ['parkinson disease', 'parkinson disease', ""idiopathic parkinson's disease"", ""lewy body parkinson's disease"", ""parkinson's disease, idiopathic"", ""parkinson's disease, lewy body"", 'paralysis agitans', ""parkinson's disease"", 'idiopathic parkinson disease', 'lewy body parkinson disease', 'primary parkinsonism', 'parkinsonism, primary', 'parkinson disease, idiopathic'], ['heart valve diseases', 'heart valve diseases', 'heart valve disease', 'valve disease, heart', 'valvular heart diseases', 'heart disease, valvular', 'valvular heart disease', 'heart valvular disease', 'disease, heart valvular', 'heart valvular diseases', 'valvular disease, heart'], ['parkinson disease', 'parkinson disease', ""idiopathic parkinson's disease"", ""lewy body parkinson's disease"", ""parkinson's disease, idiopathic"", ""parkinson's disease, lewy body"", 'paralysis agitans', ""parkinson's disease"", 'idiopathic parkinson disease', 'lewy body parkinson disease', 'primary parkinsonism', 'parkinsonism, primary', 'parkinson disease, idiopathic'], ['parkinson disease', 'parkinson disease', ""idiopathic parkinson's disease"", ""lewy body parkinson's disease"", ""parkinson's disease, idiopathic"", ""parkinson's disease, lewy body"", 'paralysis agitans', ""parkinson's disease"", 'idiopathic parkinson disease', 'lewy body parkinson disease', 'primary parkinsonism', 'parkinsonism, primary', 'parkinson disease, idiopathic'], ['heart valve diseases', 'heart valve diseases', 'heart valve disease', 'valve disease, heart', 'valvular heart diseases', 'heart disease, valvular', 'valvular heart disease', 'heart valvular disease', 'disease, heart valvular', 'heart valvular diseases', 'valvular disease, heart'], ['parkinson disease', 'parkinson disease', ""idiopathic parkinson's disease"", ""lewy body parkinson's disease"", ""parkinson's disease, idiopathic"", ""parkinson's disease, lewy body"", 'paralysis agitans', ""parkinson's disease"", 'idiopathic parkinson disease', 'lewy body parkinson disease', 'primary parkinsonism', 'parkinsonism, primary', 'parkinson disease, idiopathic'], ['parkinson disease', 'parkinson disease', ""idiopathic parkinson's disease"", ""lewy body parkinson's disease"", ""parkinson's disease, idiopathic"", ""parkinson's disease, lewy body"", 'paralysis agitans', ""parkinson's disease"", 'idiopathic parkinson disease', 'lewy body parkinson disease', 'primary parkinsonism', 'parkinsonism, primary', 'parkinson disease, idiopathic'], ['parkinson disease', 'parkinson disease', ""idiopathic parkinson's disease"", ""lewy body parkinson's disease"", ""parkinson's disease, idiopathic"", ""parkinson's disease, lewy body"", 'paralysis agitans', ""parkinson's disease"", 'idiopathic parkinson disease', 'lewy body parkinson disease', 'primary parkinsonism', 'parkinsonism, primary', 'parkinson disease, idiopathic'], ['aortic valve insufficiency', 'aortic valve insufficiency', 'insufficiency, aortic valve', 'aortic incompetence', 'incompetence, aortic', 'aortic valve incompetence', 'incompetence, aortic valve', 'regurgitation, aortic valve', 'aortic regurgitation', 'regurgitation, aortic']]"
"['vasospasm', 'cranial nerve dysfunction', 'vasospasm', 'vasospasm', 'sensorineural hearing loss', 'vasospasm', 'adverse effect on the proximal eighth nerve', 'cranial nerve deficits']","['D020301', 'D003389', 'D020301', 'D020301', 'D006319', 'D020301', 'D000160', 'D003389']","['-1', '-1', '-1', '-1', 'D006319', '-1', '-1', '-1']","['vasospasm', 'cranial nerve dysfunction', 'vasospasm', 'vasospasm', 'vasospasm', 'adverse effect on the proximal eighth nerve', 'cranial nerve deficits']","[['vasospasm, intracranial', 'vasospasm, intracranial', 'intracranial vasospasms', 'vasospasms, intracranial', 'intracranial vascular spasm', 'intracranial vascular spasms', 'spasm, intracranial vascular', 'spasms, intracranial vascular', 'vascular spasm, intracranial', 'vascular spasms, intracranial', 'intracranial vasospasm', 'intracranial angiospasm', 'angiospasms, intracranial', 'intracranial angiospasms', 'angiospasm, intracranial', 'cerebral vasospasm', 'cerebral vasospasms', 'vasospasm, cerebral', 'vasospasms, cerebral', 'cerebrovascular spasm', 'cerebrovascular spasms', 'spasm, cerebrovascular', 'spasms, cerebrovascular', 'cerebral angiospasm', 'angiospasm, cerebral', 'angiospasms, cerebral', 'cerebral angiospasms', 'cerebral artery spasm', 'artery spasm, cerebral', 'artery spasms, cerebral', 'cerebral artery spasms', 'spasm, cerebral artery', 'spasms, cerebral artery'], ['cranial nerve diseases', 'cranial nerve diseases', 'cranial nerve disease', 'cranial nerve disorders', 'cranial nerve disorder', 'cranial neuropathies', 'cranial neuropathy', 'neuropathy, cranial', 'nervus cranialis disorders', 'nervus cranialis disorder', 'neuropathies, cranial', 'cranial neuropathies, multiple', 'cranial neuropathy, multiple', 'multiple cranial neuropathies', 'multiple cranial neuropathy', 'neuropathies, multiple cranial', 'neuropathy, multiple cranial', 'cranial nerve palsies', 'cranial nerve palsy', 'palsies, cranial nerve', 'palsy, cranial nerve'], ['vasospasm, intracranial', 'vasospasm, intracranial', 'intracranial vasospasms', 'vasospasms, intracranial', 'intracranial vascular spasm', 'intracranial vascular spasms', 'spasm, intracranial vascular', 'spasms, intracranial vascular', 'vascular spasm, intracranial', 'vascular spasms, intracranial', 'intracranial vasospasm', 'intracranial angiospasm', 'angiospasms, intracranial', 'intracranial angiospasms', 'angiospasm, intracranial', 'cerebral vasospasm', 'cerebral vasospasms', 'vasospasm, cerebral', 'vasospasms, cerebral', 'cerebrovascular spasm', 'cerebrovascular spasms', 'spasm, cerebrovascular', 'spasms, cerebrovascular', 'cerebral angiospasm', 'angiospasm, cerebral', 'angiospasms, cerebral', 'cerebral angiospasms', 'cerebral artery spasm', 'artery spasm, cerebral', 'artery spasms, cerebral', 'cerebral artery spasms', 'spasm, cerebral artery', 'spasms, cerebral artery'], ['vasospasm, intracranial', 'vasospasm, intracranial', 'intracranial vasospasms', 'vasospasms, intracranial', 'intracranial vascular spasm', 'intracranial vascular spasms', 'spasm, intracranial vascular', 'spasms, intracranial vascular', 'vascular spasm, intracranial', 'vascular spasms, intracranial', 'intracranial vasospasm', 'intracranial angiospasm', 'angiospasms, intracranial', 'intracranial angiospasms', 'angiospasm, intracranial', 'cerebral vasospasm', 'cerebral vasospasms', 'vasospasm, cerebral', 'vasospasms, cerebral', 'cerebrovascular spasm', 'cerebrovascular spasms', 'spasm, cerebrovascular', 'spasms, cerebrovascular', 'cerebral angiospasm', 'angiospasm, cerebral', 'angiospasms, cerebral', 'cerebral angiospasms', 'cerebral artery spasm', 'artery spasm, cerebral', 'artery spasms, cerebral', 'cerebral artery spasms', 'spasm, cerebral artery', 'spasms, cerebral artery'], ['hearing loss, sensorineural', 'hearing loss, sensorineural', 'neurosensory deafness', 'deafnesses, neurosensory', 'neurosensory deafnesses', 'sensoryneural deafness', 'deafnesses, sensoryneural', 'sensoryneural deafnesses', 'deafness, sensoryneural', 'sensoryneural deafness', 'deafness, neurosensory', 'deafness neurosensory', 'sensorineural hearing loss', 'hearing loss, cochlear', 'cochlear hearing loss'], ['vasospasm, intracranial', 'vasospasm, intracranial', 'intracranial vasospasms', 'vasospasms, intracranial', 'intracranial vascular spasm', 'intracranial vascular spasms', 'spasm, intracranial vascular', 'spasms, intracranial vascular', 'vascular spasm, intracranial', 'vascular spasms, intracranial', 'intracranial vasospasm', 'intracranial angiospasm', 'angiospasms, intracranial', 'intracranial angiospasms', 'angiospasm, intracranial', 'cerebral vasospasm', 'cerebral vasospasms', 'vasospasm, cerebral', 'vasospasms, cerebral', 'cerebrovascular spasm', 'cerebrovascular spasms', 'spasm, cerebrovascular', 'spasms, cerebrovascular', 'cerebral angiospasm', 'angiospasm, cerebral', 'angiospasms, cerebral', 'cerebral angiospasms', 'cerebral artery spasm', 'artery spasm, cerebral', 'artery spasms, cerebral', 'cerebral artery spasms', 'spasm, cerebral artery', 'spasms, cerebral artery'], ['vestibulocochlear nerve diseases', 'vestibulocochlear nerve diseases', 'vestibulocochlear nerve disease', 'cranial nerve viii diseases', 'cranial nerve viii disorders', 'eighth cranial nerve diseases', 'vestibular nerve diseases', 'vestibular nerve disease', 'vestibular nerve disorders', 'vestibular nerve disorder', 'acoustic nerve diseases', 'acoustic nerve disease', 'cochlear nerve diseases', 'cochlear nerve disease', 'acoustic nerve disorders', 'acoustic nerve disorder', 'cochlear nerve disorders', 'cochlear nerve disorder', 'cochlear neuritis', 'cochlear neuritides', 'neuritides, cochlear', 'neuritis, cochlear']]"
"['nephrotic syndrome', 'nephropathy', 'volume retention', 'fibrosis', 'fibrosis', 'volume retention', 'fibrosis', 'nephrotic syndrome', 'proteinuria', 'nephrotic syndrome', 'ascites', 'lipidemia', 'hypoalbuminemia', 'nephrotic', 'weight gain', 'nephrotic syndrome', 'uremia', 'volume retention', 'fibrosis', 'nephrotic syndrome']","['D009404', 'D007674', 'D016055', 'D005355', 'D005355', 'D016055', 'D005355', 'D009404', 'D011507', 'D009404', 'D001201', 'D006949', 'D034141', 'D009404', 'D015430', 'D009404', 'D014511', 'D016055', 'D005355', 'D009404']","['D009404', '-1', '-1', 'D005355', 'D005355', '-1', 'D005355', 'D009404', 'D011507', 'D009404', 'D001201', 'D006949', 'D034141', '-1', 'D015430', 'D009404', 'D014511', '-1', 'D005355', 'D009404']","['nephropathy', 'volume retention', 'volume retention', 'nephrotic', 'volume retention']","[['nephrotic syndrome', 'nephrotic syndrome', 'nephrotic syndromes', 'syndrome, nephrotic', 'steroid-dependent nephrotic syndrome', 'nephrotic syndrome, steroid-dependent', 'steroid dependent nephrotic syndrome', 'steroid-dependent nephrotic syndromes', 'steroid-resistant nephrotic syndrome', 'nephrotic syndrome, steroid-resistant', 'steroid resistant nephrotic syndrome', 'steroid-resistant nephrotic syndromes', 'childhood idiopathic nephrotic syndrome', 'pediatric idiopathic nephrotic syndrome', 'frequently relapsing nephrotic syndrome', 'steroid-sensitive nephrotic syndrome', 'nephrotic syndrome, steroid-sensitive', 'steroid sensitive nephrotic syndrome', 'steroid-sensitive nephrotic syndromes', 'syndrome, steroid-sensitive nephrotic', 'multi-drug resistant nephrotic syndrome', 'multi drug resistant nephrotic syndrome'], ['kidney diseases', 'kidney diseases', 'disease, kidney', 'diseases, kidney', 'kidney disease'], ['urinary retention', 'urinary retention', 'retention, urinary'], ['fibrosis', 'fibrosis', 'fibroses', 'cirrhosis'], ['fibrosis', 'fibrosis', 'fibroses', 'cirrhosis']]"
"['cholestasis', 'pneumocystis pneumonia', 'hiv-infected', 'pneumocystis pneumonia', 'pcp', 'opportunistic infection', 'hiv-infected', 'hiv-infected', 'intrahepatic cholestasis', 'liver abscess', 'pcp']","['D002779', 'D011020', 'D015658', 'D011020', 'D011020', 'D009894', 'D015658', 'D015658', 'D002780', 'D008100', 'D011020']","['D002779', 'D011020', '-1', 'D011020', '-1', 'D009894', '-1', '-1', 'D002780', 'D008100', '-1']","['hiv-infected', 'pcp', 'hiv-infected', 'hiv-infected', 'pcp']","[['cholestasis', 'cholestasis', 'cholestases', 'biliary stasis', 'biliary stases', 'stases, biliary', 'stasis, biliary', 'bile duct obstruction', 'bile duct obstructions', 'duct obstruction, bile', 'duct obstructions, bile', 'obstruction, bile duct', 'obstructions, bile duct'], ['pneumonia, pneumocystis', 'pneumonia, pneumocystis', 'pneumocystis pneumonias', 'pcp infection', 'infection, pcp', 'pcp infections', 'pneumocystis jirovecii pneumonia', 'pneumonia, pneumocystis jirovecii', 'pneumocystosis', 'pneumocystoses', 'pneumonia, interstitial plasma cell', 'pneumocystis carinii pneumonia', 'pneumonia, pneumocystis carinii', 'pneumocystis pneumonia', 'p. carinii pneumonia', 'p. carinii pneumonias', 'pneumonia, p. carinii', 'p. jirovecii pneumonia', 'p. jirovecii pneumonias', 'pneumonia, p. jirovecii', 'pcp pneumonia', 'pcp pneumonias', 'pneumonia, pcp', 'pneumonias, pcp', 'p carinii pneumonia', 'p carinii pneumonias', 'pneumonia, p carinii'], ['hiv infections', 'hiv infections', 'hiv infection', 'infection, hiv', 'infections, hiv', 'htlv-iii infections', 'htlv-iii infection', 'htlv iii infections', 'infection, htlv-iii', 'infections, htlv-iii', 'htlv-iii-lav infections', 'htlv-iii-lav infection', 'htlv iii lav infections', 'infection, htlv-iii-lav', 'infections, htlv-iii-lav', 't-lymphotropic virus type iii infections, human', 't lymphotropic virus type iii infections, human', 'hiv coinfection', 'coinfection, hiv', 'coinfections, hiv', 'hiv coinfections'], ['pneumonia, pneumocystis', 'pneumonia, pneumocystis', 'pneumocystis pneumonias', 'pcp infection', 'infection, pcp', 'pcp infections', 'pneumocystis jirovecii pneumonia', 'pneumonia, pneumocystis jirovecii', 'pneumocystosis', 'pneumocystoses', 'pneumonia, interstitial plasma cell', 'pneumocystis carinii pneumonia', 'pneumonia, pneumocystis carinii', 'pneumocystis pneumonia', 'p. carinii pneumonia', 'p. carinii pneumonias', 'pneumonia, p. carinii', 'p. jirovecii pneumonia', 'p. jirovecii pneumonias', 'pneumonia, p. jirovecii', 'pcp pneumonia', 'pcp pneumonias', 'pneumonia, pcp', 'pneumonias, pcp', 'p carinii pneumonia', 'p carinii pneumonias', 'pneumonia, p carinii'], ['pneumonia, pneumocystis', 'pneumonia, pneumocystis', 'pneumocystis pneumonias', 'pcp infection', 'infection, pcp', 'pcp infections', 'pneumocystis jirovecii pneumonia', 'pneumonia, pneumocystis jirovecii', 'pneumocystosis', 'pneumocystoses', 'pneumonia, interstitial plasma cell', 'pneumocystis carinii pneumonia', 'pneumonia, pneumocystis carinii', 'pneumocystis pneumonia', 'p. carinii pneumonia', 'p. carinii pneumonias', 'pneumonia, p. carinii', 'p. jirovecii pneumonia', 'p. jirovecii pneumonias', 'pneumonia, p. jirovecii', 'pcp pneumonia', 'pcp pneumonias', 'pneumonia, pcp', 'pneumonias, pcp', 'p carinii pneumonia', 'p carinii pneumonias', 'pneumonia, p carinii']]"
